frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1746867588.541098000,0.996723000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8263,106,50,5888,,50,,116,1
1746867588.541328000,0.000230000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8313,0,60928,,,,66,1
1746867588.541335000,0.000007000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8313,106,97,5888,,97,,163,1
1746867588.541456000,0.000121000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8410,0,60928,,,,66,1
1746867588.544097000,0.002641000,,,,,,,,,,,,,,,,,42,1
1746867588.544123000,0.000026000,,,,,,,,,,,,,,,,,42,1
1746867588.544127000,0.000004000,,,,,,,,,,,,,,,,,42,1
1746867589.542213000,0.998086000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8410,106,50,5888,,50,,116,1
1746867589.542861000,0.000648000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8460,0,60928,,,,66,1
1746867589.542918000,0.000057000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8460,106,97,5888,,97,,163,1
1746867589.543320000,0.000402000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8557,0,60928,,,,66,1
1746867589.544141000,0.000821000,,,,,,,,,,,,,,,,,42,1
1746867589.544161000,0.000020000,,,,,,,,,,,,,,,,,42,1
1746867589.554087000,0.009926000,,,,,,,,,,,,,,,,,42,1
1746867590.544378000,0.990291000,,,,,,,,,,,,,,,,,42,1
1746867590.544869000,0.000491000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8557,106,50,5888,,50,,116,1
1746867590.545277000,0.000408000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8607,0,60928,,,,66,1
1746867590.545328000,0.000051000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8607,106,97,5888,,97,,163,1
1746867590.545598000,0.000270000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8704,0,60928,,,,66,1
1746867590.554305000,0.008707000,,,,,,,,,,,,,,,,,42,1
1746867590.554451000,0.000146000,,,,,,,,,,,,,,,,,42,1
1746867591.546398000,0.991947000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8704,106,50,5888,,50,,116,1
1746867591.546892000,0.000494000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8754,0,60928,,,,66,1
1746867591.546955000,0.000063000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8754,106,97,5888,,97,,163,1
1746867591.547278000,0.000323000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8851,0,60928,,,,66,1
1746867591.554085000,0.006807000,,,,,,,,,,,,,,,,,42,1
1746867591.554121000,0.000036000,,,,,,,,,,,,,,,,,42,1
1746867591.554129000,0.000008000,,,,,,,,,,,,,,,,,42,1
1746867592.548094000,0.993965000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8851,106,50,5888,,50,,116,1
1746867592.548480000,0.000386000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8901,0,60928,,,,66,1
1746867592.548527000,0.000047000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,8901,106,97,5888,,97,,163,1
1746867592.548766000,0.000239000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,8998,0,60928,,,,66,1
1746867592.554164000,0.005398000,,,,,,,,,,,,,,,,,42,1
