frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1747142617.731227000,0.952789000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142617.731278000,0.000051000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142617.801235000,0.069957000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142617.801497000,0.000262000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142618.732822000,0.931325000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142618.732854000,0.000032000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142618.825300000,0.092446000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142618.825566000,0.000266000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142620.131904000,1.306338000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142620.132192000,0.000288000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142621.166944000,1.034752000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142621.167184000,0.000240000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142622.193312000,1.026128000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142622.193776000,0.000464000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142623.635903000,1.442127000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142623.636113000,0.000210000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142624.681566000,1.045453000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142624.681775000,0.000209000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
